Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"398,000",204.52,"1,946",Jan-25,Strata,19,"20,947",99 yrs lease commencing from 1974,07,01 to 05
SQUARE 2,SINARAN DRIVE,Retail,"3,180,000",699.66,"4,545",Dec-24,Strata,65,"48,923",99 yrs lease commencing from 2002,11,06 to 10
OASIA HOTEL,SINARAN DRIVE,Retail,"4,150,000",871.88,"4,760",Dec-24,Strata,81,"51,235",99 yrs lease commencing from 2007,11,01 to 05
CITY GATE,BEACH ROAD,Retail,"1,018,000",419.8,"2,425",Dec-24,Strata,39,"26,103",99 yrs lease commencing from 2014,07,B1 to B5
CENTROPOD @ CHANGI,CHANGI ROAD,Retail,"373,000",150.7,"2,475",Dec-24,Strata,14,"26,643",Freehold,14,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Retail,"845,000",398.27,"2,122",Dec-24,Strata,37,"22,838",Freehold,09,11 to 15
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"1,918,888",592.02,"3,241",Dec-24,Strata,55,"34,889",99 yrs lease commencing from 1983,07,01 to 05
LOFT @ NATHAN,RIVER VALLEY ROAD,Retail,"2,538,888",635.08,"3,998",Dec-24,Strata,59,"43,032",Freehold,10,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Retail,"850,000",699.66,"1,215",Dec-24,Strata,65,"13,077",99 yrs lease commencing from 1969,06,01 to 05
111 SOMERSET,SOMERSET ROAD,Retail,"1,680,000",516.67,"3,252",Nov-24,Strata,48,"35,000",99 yrs lease commencing from 1975,09,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Retail,"1,171,569",559.73,"2,093",Nov-24,Strata,52,"22,530",99 yrs lease commencing from 2014,25,06 to 10
FAR EAST PLAZA,SCOTTS ROAD,Retail,"2,168,888",387.5,"5,597",Nov-24,Strata,36,"60,247",Freehold,09,01 to 05
THE ADELPHI,COLEMAN STREET,Retail,"2,345,000",850.36,"2,758",Nov-24,Strata,79,"29,684",999 yrs lease commencing from 1828,06,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Retail,"1,200,000",538.2,"2,230",Nov-24,Strata,50,"24,000",99 yrs lease commencing from 2011,14,06 to 10
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,180,000",441.32,"2,674",Nov-24,Strata,41,"28,780",99 yrs lease commencing from 1970,01,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"880,000",430.56,"2,044",Nov-24,Strata,40,"22,000",999 yrs lease commencing from 1883,21,01 to 05
THE ARCADE,COLLYER QUAY,Retail,"5,892,500","2,357.32","2,500",Nov-24,Strata,219,"26,906",99 yrs lease commencing from 1980,01,06 to 10
FAR EAST PLAZA,SCOTTS ROAD,Retail,"1,600,000",312.16,"5,126",Nov-24,Strata,29,"55,172",Freehold,09,01 to 05
N.A.,ENG KONG TERRACE,Retail,"1,800,000","1,248.62","1,442",Nov-24,Strata,116,"15,517",999 yrs lease commencing from 1994,21,-
LE REGAL,GEYLANG ROAD,Retail,"300,000",107.64,"2,787",Nov-24,Strata,10,"30,000",Freehold,14,01 to 05
THE GOLDEN LANDMARK,VICTORIA STREET,Retail,"766,300",387.5,"1,978",Nov-24,Strata,36,"21,286",99 yrs lease commencing from 1981,07,01 to 05
