Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,580,020","1,259.39","2,049",Jan-25,Strata,117,"22,051",99 yrs lease commencing from 2014,25,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,108,000",871.88,"2,418",Dec-24,Strata,81,"26,025",99 yrs lease commencing from 2001,01,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"700,888",441.32,"1,588",Dec-24,Strata,41,"17,095",99 yrs lease commencing from 1969,06,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,880,000","1,140.98","1,648",Dec-24,Strata,106,"17,736",99 yrs lease commencing from 1997,07,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,400,000",699.66,"2,001",Dec-24,Strata,65,"21,538",99 yrs lease commencing from 2013,22,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,884,000","1,410.08","3,464",Dec-24,Strata,131,"37,282",99 yrs lease commencing from 2023,09,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"2,080,000",731.95,"2,842",Dec-24,Strata,68,"30,588",99 yrs lease commencing from 2001,01,11 to 15
FUYUEN COURT,SIMS AVENUE,Office,"605,500",409.03,"1,480",Dec-24,Strata,38,"15,934",Freehold,14,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,654,000","1,151.75","3,173",Dec-24,Strata,107,"34,150",99 yrs lease commencing from 2023,09,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,870,000",635.08,"2,945",Dec-24,Strata,59,"31,695",99 yrs lease commencing from 2001,01,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"6,004,000","1,743.77","3,443",Dec-24,Strata,162,"37,062",99 yrs lease commencing from 2023,09,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"4,500,000","1,323.97","3,399",Dec-24,Strata,123,"36,585",99 yrs lease commencing from 2011,01,21 to 25
ONE SOPHIA,SOPHIA ROAD,Office,"3,087,000",958,"3,222",Dec-24,Strata,89,"34,685",99 yrs lease commencing from 2023,09,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"688,000",376.74,"1,826",Dec-24,Strata,35,"19,657",99 yrs lease commencing from 1980,03,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"10,319,100","3,498.3","2,950",Dec-24,Strata,325,"31,751",99 yrs lease commencing from 1989,01,11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"35,888,888","11,786.58","3,045",Dec-24,Strata,"1,095","32,775",99 yrs lease commencing from 1989,01,21 to 25
ONE SOPHIA,SOPHIA ROAD,Office,"5,000,000","1,410.08","3,546",Dec-24,Strata,131,"38,168",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,381,000",947.23,"3,569",Dec-24,Strata,88,"38,420",99 yrs lease commencing from 2023,09,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"933,000",742.72,"1,256",Dec-24,Strata,69,"13,522",Freehold,15,06 to 10
TONG ENG BUILDING,CECIL STREET,Office,"1,550,000",462.85,"3,349",Dec-24,Strata,43,"36,047",999 yrs lease commencing from 1885,01,16 to 20
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,758,000","1,140.98","1,541",Dec-24,Strata,106,"16,585",99 yrs lease commencing from 1980,07,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,695,000","1,001.05","1,693",Dec-24,Strata,93,"18,226",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"3,309,000",947.23,"3,493",Dec-24,Strata,88,"37,602",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,661,000","1,140.98","3,209",Dec-24,Strata,106,"34,538",99 yrs lease commencing from 2023,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,629,155",753.48,"2,162",Dec-24,Strata,70,"23,274",99 yrs lease commencing from 2014,25,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,138,500",495.14,"2,299",Dec-24,Strata,46,"24,750",999 yrs lease commencing from 1829,06,01 to 05
N.A.,ROBINSON ROAD,Office,"18,438,800","4,736.16","3,893",Nov-24,Strata,440,"41,906",Freehold,01,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,480,000",850.36,"1,740",Nov-24,Strata,79,"18,734",99 yrs lease commencing from 1997,07,06 to 10
SLF BUILDING,THOMSON ROAD,Office,"8,800,000","9,450.79",931,Nov-24,Strata,878,"10,023",99 yrs lease commencing from 1979,11,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,775,000",559.73,"3,171",Nov-24,Strata,52,"34,135",999 yrs lease commencing from 1829,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"900,000",344.45,"2,613",Nov-24,Strata,32,"28,125",999 yrs lease commencing from 1829,06,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,738,800","1,237.86","1,405",Nov-24,Strata,115,"15,120",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"8,487,000","2,486.48","3,413",Nov-24,Strata,231,"36,740",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,505,000","1,097.93","3,192",Nov-24,Strata,102,"34,363",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,755,000","1,097.93","3,420",Nov-24,Strata,102,"36,814",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,001,000","1,786.82","3,358",Nov-24,Strata,166,"36,151",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,165,000",484.38,"2,405",Nov-24,Strata,45,"25,889",99 yrs lease commencing from 2011,14,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,890,000",925.7,"3,122",Nov-24,Strata,86,"33,605",99 yrs lease commencing from 2023,09,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"800,000",269.1,"2,973",Nov-24,Strata,25,"32,000",99 yrs lease commencing from 1980,07,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,388,000","1,356.26","3,235",Nov-24,Strata,126,"34,825",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,562,000","1,410.08","3,235",Nov-24,Strata,131,"34,824",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,823,000","1,410.08","3,420",Nov-24,Strata,131,"36,817",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,882,000",882.65,"3,265",Nov-24,Strata,82,"35,146",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,109,000","1,808.35","3,378",Nov-24,Strata,168,"36,363",99 yrs lease commencing from 2023,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"860,000",559.73,"1,536",Nov-24,Strata,52,"16,538",99 yrs lease commencing from 2014,25,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,594,000","1,097.93","3,273",Nov-24,Strata,102,"35,235",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,658,300",721.19,"2,299",Nov-24,Strata,67,"24,751",99 yrs lease commencing from 2011,14,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,685,555",936.47,"1,800",Nov-24,Strata,87,"19,374",99 yrs lease commencing from 1970,02,26 to 30
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,108,000",548.96,"2,018",Nov-24,Strata,51,"21,725",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,688,500",613.55,"2,752",Nov-24,Strata,57,"29,623",999 yrs lease commencing from 1827,06,06 to 10
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"768,000",581.26,"1,321",Nov-24,Strata,54,"14,222",99 yrs lease commencing from 1968,01,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000",731.95,"1,749",Nov-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"5,651,200","1,765.3","3,201",Nov-24,Strata,164,"34,459",99 yrs lease commencing from 2001,01,16 to 20
PLUS,CECIL STREET,Office,"3,500,000","1,259.39","2,779",Nov-24,Strata,117,"29,915",99 yrs lease commencing from 1989,01,01 to 05
REGENCY SUITES,KIM TIAN ROAD,Office,"2,120,000","1,033.34","2,052",Nov-24,Strata,96,"22,083",Freehold,03,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,590,000","1,076.4","1,477",Nov-24,Strata,100,"15,900",99 yrs lease commencing from 1980,07,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"4,300,000","1,323.97","3,248",Nov-24,Strata,123,"34,959",99 yrs lease commencing from 2011,01,16 to 20
ONE SOPHIA,SOPHIA ROAD,Office,"3,738,000","1,162.51","3,215",Nov-24,Strata,108,"34,611",99 yrs lease commencing from 2023,09,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,045,800",581.26,"1,799",Nov-24,Strata,54,"19,367",99 yrs lease commencing from 1996,07,11 to 15
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,026,000",570.49,"1,798",Nov-24,Strata,53,"19,358",99 yrs lease commencing from 1996,07,11 to 15
SULTAN PLAZA,JALAN SULTAN,Office,"310,000",247.57,"1,252",Nov-24,Strata,23,"13,478",99 yrs lease commencing from 1978,07,01 to 05
ASCENT @ 456,BALESTIER ROAD,Office,"988,000",376.74,"2,622",Nov-24,Strata,35,"28,229",Freehold,12,01 to 05
FUYUEN COURT,SIMS AVENUE,Office,"1,450,000","1,550.02",935,Oct-24,Strata,144,"10,069",Freehold,14,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,432,200","4,833.04","3,400",Oct-24,Strata,449,"36,597",99 yrs lease commencing from 1989,01,36 to 40
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,200,000",678.13,"1,770",Oct-24,Strata,63,"19,048",99 yrs lease commencing from 1997,07,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"605,888",473.62,"1,279",Oct-24,Strata,44,"13,770",99 yrs lease commencing from 1970,07,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"6,600,000","5,963.26","1,107",Oct-24,Strata,554,"11,913",99 yrs lease commencing from 1969,03,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"710,000",387.5,"1,832",Oct-24,Strata,36,"19,722",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,240,000",548.96,"2,259",Oct-24,Strata,51,"24,314",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,227,000",409.03,"3,000",Oct-24,Strata,38,"32,289",999 yrs lease commencing from 1827,06,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"936,000",312.16,"2,999",Oct-24,Strata,29,"32,276",999 yrs lease commencing from 1827,06,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"838,000",355.21,"2,359",Oct-24,Strata,33,"25,394",Freehold,15,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"600,000",150.7,"3,982",Oct-24,Strata,14,"42,857",Freehold,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"640,000",484.38,"1,321",Oct-24,Strata,45,"14,222",Freehold,14,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"2,150,000",958,"2,244",Oct-24,Strata,89,"24,157",Freehold,09,11 to 15
GB BUILDING,CECIL STREET,Office,"10,880,000","5,500.4","1,978",Oct-24,Strata,511,"21,292",99 yrs lease commencing from 1982,01,26 to 30
GOLDEN MILE TOWER,BEACH ROAD,Office,"986,888",699.66,"1,411",Oct-24,Strata,65,"15,183",99 yrs lease commencing from 1969,07,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"760,000",398.27,"1,908",Oct-24,Strata,37,"20,541",Freehold,15,01 to 05
