Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
ORCHARD PLAZA,ORCHARD ROAD,Office,"740,000",452.09,"1,637",Oct-24,Strata,42,"17,619",99 yrs lease commencing from 1977,09,06 to 10
TONG ENG BUILDING,CECIL STREET,Office,"3,862,596","1,227.1","3,148",Oct-24,Strata,114,"33,882",999 yrs lease commencing from 1885,01,21 to 25
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"850,000",484.38,"1,755",Oct-24,Strata,45,"18,889",99 yrs lease commencing from 1997,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,318,000","1,065.64","2,175",Oct-24,Strata,99,"23,414",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,230,000",559.73,"2,197",Oct-24,Strata,52,"23,654",99 yrs lease commencing from 2014,25,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"400,000",226.04,"1,770",Oct-24,Strata,21,"19,048",99 yrs lease commencing from 1980,03,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,120,000",635.08,"1,764",Oct-24,Strata,59,"18,983",99 yrs lease commencing from 1997,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,763,580",968.76,"1,820",Oct-24,Strata,90,"19,595",99 yrs lease commencing from 1970,02,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,150,000",667.37,"1,723",Oct-24,Strata,62,"18,548",99 yrs lease commencing from 1997,07,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000",785.77,"2,800",Oct-24,Strata,73,"30,137",99 yrs lease commencing from 1975,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,688,888","1,011.82","1,669",Oct-24,Strata,94,"17,967",99 yrs lease commencing from 2006,07,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,500,000","2,357.32","1,485",Oct-24,Strata,219,"15,982",99 yrs lease commencing from 1970,02,11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000",731.95,"1,749",Oct-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"920,000",462.85,"1,988",Oct-24,Strata,43,"21,395",99 yrs lease commencing from 1970,02,21 to 25
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000",602.78,"1,576",Oct-24,Strata,56,"16,964",99 yrs lease commencing from 2006,07,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,010,000",624.31,"3,220",Sep-24,Strata,58,"34,655",99 yrs lease commencing from 2001,01,11 to 15
ICON@CHANGI,CHANGI ROAD,Office,"762,000",430.56,"1,770",Sep-24,Strata,40,"19,050",Freehold,14,01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"33,500,000","6,867.43","4,878",Sep-24,Strata,638,"52,508",Freehold,09,06 to 10
TONG BUILDING,ORCHARD ROAD,Office,"35,000,000","6,867.43","5,097",Sep-24,Strata,638,"54,859",Freehold,09,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,620,000",936.47,"1,730",Sep-24,Strata,87,"18,621",99 yrs lease commencing from 1970,02,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"900,000",473.62,"1,900",Sep-24,Strata,44,"20,455",99 yrs lease commencing from 1970,02,16 to 20
SAMSUNG HUB,CHURCH STREET,Office,"14,800,000","3,595.18","4,117",Sep-24,Strata,334,"44,311",999 yrs lease commencing from 1827,01,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,250,000",559.73,"2,233",Sep-24,Strata,52,"24,038",99 yrs lease commencing from 2014,25,11 to 15
N.A.,ROBINSON ROAD,Office,"17,919,925","4,746.92","3,775",Sep-24,Strata,441,"40,635",Freehold,01,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,178,845",559.73,"2,106",Sep-24,Strata,52,"22,670",99 yrs lease commencing from 2014,25,11 to 15
HIGH STREET PLAZA,HIGH STREET,Office,"1,750,000",785.77,"2,227",Sep-24,Strata,73,"23,973",999 yrs lease commencing from 1827,06,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"1,000,000",785.77,"1,273",Sep-24,Strata,73,"13,699",99 yrs lease commencing from 1970,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,550,000","1,130.22","2,256",Sep-24,Strata,105,"24,286",99 yrs lease commencing from 2011,14,06 to 10
THE PLAZA,BEACH ROAD,Office,"655,000",430.56,"1,521",Sep-24,Strata,40,"16,375",99 yrs lease commencing from 1968,07,16 to 20
N.A.,ROBINSON ROAD,Office,"18,556,200","4,757.69","3,900",Sep-24,Strata,442,"41,982",Freehold,01,06 to 10
HOA NAM BUILDING,FOCH ROAD,Office,"381,000",172.22,"2,212",Sep-24,Strata,16,"23,813",Freehold,08,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Office,"288,800",161.46,"1,789",Sep-24,Strata,15,"19,253",Freehold,05,01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"31,330,000","6,867.43","4,562",Sep-24,Strata,638,"49,107",Freehold,09,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,550,000",613.55,"2,526",Aug-24,Strata,57,"27,193",999 yrs lease commencing from 1827,06,01 to 05
ORIENTAL VENTURE BUILDING,GEYLANG ROAD,Office,"1,480,000","1,097.93","1,348",Aug-24,Strata,102,"14,510",Freehold,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,975,490",947.23,"2,086",Aug-24,Strata,88,"22,449",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,163,581",559.73,"2,079",Aug-24,Strata,52,"22,377",99 yrs lease commencing from 2014,25,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"1,500,000",721.19,"2,080",Aug-24,Strata,67,"22,388",99 yrs lease commencing from 1983,01,01 to 05
EON SHENTON,SHENTON WAY,Office,"1,200,000",505.91,"2,372",Aug-24,Strata,47,"25,532",99 yrs lease commencing from 2011,02,16 to 20
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,580,000","1,679.18","1,536",Aug-24,Strata,156,"16,538",99 yrs lease commencing from 1980,07,16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,395,600","1,776.06","2,475",Aug-24,Strata,165,"26,640",999 yrs lease commencing from 1829,06,21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,243,076",559.73,"2,221",Aug-24,Strata,52,"23,905",99 yrs lease commencing from 2014,25,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"3,051,000","1,442.38","2,115",Aug-24,Strata,134,"22,769",99 yrs lease commencing from 2013,22,11 to 15
THE PLAZA,BEACH ROAD,Office,"490,000",301.39,"1,626",Aug-24,Strata,28,"17,500",99 yrs lease commencing from 1968,07,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,700,000",635.08,"2,677",Aug-24,Strata,59,"28,814",99 yrs lease commencing from 2001,01,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"788,888",365.98,"2,156",Aug-24,Strata,34,"23,203",Freehold,15,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,050,000",753.48,"1,394",Aug-24,Strata,70,"15,000",99 yrs lease commencing from 1970,01,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"2,700,000","1,388.56","1,944",Aug-24,Strata,129,"20,930",99 yrs lease commencing from 2013,22,16 to 20
PRUDENTIAL TOWER,CECIL STREET,Office,"26,500,000","5,715.68","4,636",Aug-24,Strata,531,"49,906",99 yrs lease commencing from 1996,01,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"900,000",882.65,"1,020",Aug-24,Strata,82,"10,976",99 yrs lease commencing from 1970,07,06 to 10
SIM LIM TOWER,JALAN BESAR,Office,"924,000",419.8,"2,201",Aug-24,Strata,39,"23,692",Freehold,08,11 to 15
PLUS,CECIL STREET,Office,"3,150,000","1,001.05","3,147",Aug-24,Strata,93,"33,871",99 yrs lease commencing from 1989,01,21 to 25
PENINSULA EXCELSIOR HOTEL,COLEMAN STREET,Office,"600,000",376.74,"1,593",Aug-24,Strata,35,"17,143",99 yrs lease commencing from 1979,06,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,861,000",979.52,"1,900",Aug-24,Strata,91,"20,451",99 yrs lease commencing from 1970,02,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"3,050,000","1,560.78","1,954",Aug-24,Strata,145,"21,034",99 yrs lease commencing from 2014,25,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,470,000","2,486.48","1,798",Aug-24,Strata,231,"19,351",99 yrs lease commencing from 1980,01,21 to 25
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,380,000","1,550.02","1,535",Aug-24,Strata,144,"16,528",99 yrs lease commencing from 1980,07,16 to 20
ROBINSON SQUARE,ROBINSON ROAD,Office,"3,552,000","1,184.04","3,000",Aug-24,Strata,110,"32,291",Freehold,01,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"750,000",398.27,"1,883",Aug-24,Strata,37,"20,270",Freehold,15,01 to 05
TONG ENG BUILDING,CECIL STREET,Office,"1,350,000",462.85,"2,917",Aug-24,Strata,43,"31,395",999 yrs lease commencing from 1885,01,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"931,000",452.09,"2,059",Aug-24,Strata,42,"22,167",Freehold,15,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"1,120,000",538.2,"2,081",Aug-24,Strata,50,"22,400",Freehold,15,01 to 05
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,"2,060,000",764.24,"2,695",Aug-24,Strata,71,"29,014",Freehold,10,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,888,000","1,119.46","1,687",Jul-24,Strata,104,"18,154",99 yrs lease commencing from 1997,07,06 to 10
TRIO,SAM LEONG ROAD,Office,"758,000",226.04,"3,353",Jul-24,Strata,21,"36,095",Freehold,08,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"525,000",333.68,"1,573",Jul-24,Strata,31,"16,935",99 yrs lease commencing from 1983,01,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,628,000","1,711.48","1,536",Jul-24,Strata,159,"16,528",99 yrs lease commencing from 1980,07,16 to 20
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"455,000",150.7,"3,019",Jul-24,Strata,14,"32,500",999 yrs lease commencing from 1883,21,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"550,000",452.09,"1,217",Jul-24,Strata,42,"13,095",99 yrs lease commencing from 1974,07,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,320,000",764.24,"1,727",Jul-24,Strata,71,"18,592",99 yrs lease commencing from 2013,22,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,174,000",538.2,"2,181",Jul-24,Strata,50,"23,480",99 yrs lease commencing from 2011,14,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"560,000",344.45,"1,626",Jul-24,Strata,32,"17,500",99 yrs lease commencing from 1983,01,06 to 10
PLUS,CECIL STREET,Office,"4,152,900","1,270.15","3,270",Jul-24,Strata,118,"35,194",99 yrs lease commencing from 1989,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,068,000",484.38,"2,205",Jul-24,Strata,45,"23,733",99 yrs lease commencing from 2011,14,06 to 10
EON SHENTON,SHENTON WAY,Office,"4,070,000","1,700.71","2,393",Jul-24,Strata,158,"25,759",99 yrs lease commencing from 2011,02,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"2,350,000","1,001.05","2,348",Jul-24,Strata,93,"25,269",999 yrs lease commencing from 1829,06,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"2,200,000",871.88,"2,523",Jul-24,Strata,81,"27,160",99 yrs lease commencing from 2001,01,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"5,825,000","1,969.81","2,957",Jul-24,Strata,183,"31,831",99 yrs lease commencing from 2011,01,11 to 15
THE MEZZO,BALESTIER ROAD,Office,"1,300,000",753.48,"1,725",Jul-24,Strata,70,"18,571",Freehold,12,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"55,150,000","13,132.08","4,200",Jul-24,Strata,"1,220","45,205",Freehold,01,11 to 15
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,249,199","4,779.22","3,400",Jul-24,Strata,444,"36,597",99 yrs lease commencing from 1989,01,21 to 25
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"760,000",473.62,"1,605",Jul-24,Strata,44,"17,273",Freehold,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"900,000",441.32,"2,039",Jul-24,Strata,41,"21,951",Freehold,15,01 to 05
THE PLAZA,BEACH ROAD,Office,"1,180,000",871.88,"1,353",Jul-24,Strata,81,"14,568",99 yrs lease commencing from 1968,07,11 to 15
N.A.,RAFFLES QUAY,Office,"36,000,000","10,128.92","3,554",Jul-24,Strata,941,"38,257",Freehold,01,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"2,640,000",753.48,"3,504",Jul-24,Strata,70,"37,714",99 yrs lease commencing from 2011,01,21 to 25
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"688,000",452.09,"1,522",Jun-24,Strata,42,"16,381",99 yrs lease commencing from 1980,03,01 to 05
THE BENCOOLEN,BENCOOLEN STREET,Office,"1,080,000",753.48,"1,433",Jun-24,Strata,70,"15,429",99 yrs lease commencing from 1995,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,613,999",936.47,"1,723",Jun-24,Strata,87,"18,552",99 yrs lease commencing from 1970,02,11 to 15
THE ARIZON,GEYLANG ROAD,Office,"1,100,917","1,151.75",956,Jun-24,Strata,107,"10,289",Freehold,14,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"990,000",699.66,"1,415",Jun-24,Strata,65,"15,231",99 yrs lease commencing from 1974,07,06 to 10
GIFFARD MANSIONS,BALESTIER ROAD,Office,"635,000",355.21,"1,788",Jun-24,Strata,33,"19,242",Freehold,12,01 to 05
